country,week,gkg_n_docs,gkg_mean_tone
PK,2025-11-02,871,-2.6095426701018973
SO,2025-11-02,82,-1.6860599870055253
ER,2025-11-02,24,-0.18761557214965371
ET,2025-11-02,95,0.19801602082482084
EC,2025-11-02,36,-2.8554838920335284
CO,2025-11-02,191,-2.960053206238436
HA,2025-11-02,301,-2.530568891055584
VE,2025-11-02,438,-3.1761842240446945
SU,2025-11-02,388,-3.4728213189049817
KE,2025-11-02,443,-0.07850125228734398
NU,2025-11-02,48,-3.937632280177057
PE,2025-11-02,97,-0.15359260101502295
BM,2025-11-02,51,-0.22546255945074278
OD,2025-11-02,120,-2.509603282082991
KG,2025-11-02,12,1.644775214963554
TI,2025-11-02,33,-1.2976025505853948
UZ,2025-11-02,65,0.185951821278647
BL,2025-11-02,41,-0.25120276772728256
CO,2025-11-09,392,-0.7892527681256093
KG,2025-11-09,46,2.4576281117973307
PK,2025-11-09,974,-1.7348089261771988
AF,2025-11-09,541,-1.9579258693425932
BM,2025-11-09,431,-0.23732835805042407
KE,2025-11-09,256,-0.5532604424701832
PE,2025-11-09,133,0.29798707808315594
VE,2025-11-09,362,-2.4199056783942217
BL,2025-11-09,103,-0.4393925709713147
SU,2025-11-09,223,-4.748921542342297
NU,2025-11-09,32,-2.925951676650291
EC,2025-11-09,86,-2.9779066606403335
TI,2025-11-09,32,0.17256543802948934
UZ,2025-11-09,111,1.338481945583764
ET,2025-11-09,87,-0.3349457024081676
HA,2025-11-09,67,-2.9607811115786307
OD,2025-11-09,26,-2.1259816839052497
SO,2025-11-09,78,-0.7513814378045124
ER,2025-11-09,17,-0.7712567276843785
VE,2025-11-16,521,-3.0101990608506632
TI,2025-11-16,32,1.3208042105846451
PK,2025-11-16,757,-1.9673602747386443
KE,2025-11-16,377,-1.097083407746112
HA,2025-11-16,115,-3.6930855169151413
ET,2025-11-16,93,-0.786465663912643
AF,2025-11-16,319,-3.1734553478232925
PE,2025-11-16,329,-2.4086765526144496
BL,2025-11-16,171,-3.7968859231399557
BM,2025-11-16,46,-2.310851031520174
EC,2025-11-16,209,-2.0897202070590812
CO,2025-11-16,255,-2.347250728572208
KG,2025-11-16,71,1.1829118710621267
SU,2025-11-16,169,-3.0328517646758013
UZ,2025-11-16,120,2.3398415521675155
SO,2025-11-16,107,-2.7563336174857387
ER,2025-11-16,26,-0.7905910761633931
OD,2025-11-16,37,-2.802330595031369
NU,2025-11-16,21,-1.3288787995128752
KE,2025-11-23,285,0.20297953082796494
SU,2025-11-23,104,-2.2705743089768236
SO,2025-11-23,106,-2.4095348305538815
BM,2025-11-23,39,-3.7368947033354685
AF,2025-11-23,298,-2.296971588867516
PK,2025-11-23,835,-1.9970767622517727
CO,2025-11-23,553,-2.983459051207555
ET,2025-11-23,229,-0.3645771438429604
VE,2025-11-23,563,-3.501139984825383
HA,2025-11-23,85,-2.870192504414167
PE,2025-11-23,91,1.3101205079876566
KG,2025-11-23,35,-1.1119129011496545
NU,2025-11-23,30,-1.2539788308341384
OD,2025-11-23,32,-3.971503941820328
EC,2025-11-23,47,-0.2922204680619078
UZ,2025-11-23,63,-1.1715130570454286
ER,2025-11-23,31,-1.8271578564939686
TI,2025-11-23,44,-0.23243111049720797
BL,2025-11-23,55,-1.2804513977477887
SO,2025-11-30,96,-3.1619809960258647
AF,2025-11-30,1231,-3.950415604634981
PK,2025-11-30,779,-1.9402457561577677
PE,2025-11-30,139,-0.3569668653576661
VE,2025-11-30,815,-3.877957403044031
HA,2025-11-30,132,0.12115445395553001
BM,2025-11-30,100,-0.2721686355068459
BL,2025-11-30,72,-1.5888756471197016
EC,2025-11-30,91,-3.3545652057661237
CO,2025-11-30,207,-1.7010639457019108
TI,2025-11-30,16,0.8858694608254273
NU,2025-11-30,31,-2.0750647890890868
KE,2025-11-30,223,0.5084849389754839
KG,2025-11-30,83,-0.8738740355598855
OD,2025-11-30,93,-0.3792414028252935
ET,2025-11-30,74,0.5657324635569473
